			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Fire Shield	Khiên Lửa	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Khiên Lửa}

Triển khai phép thuật lên đơn vị quân thân thiện, phép này không mang lại thêm bất kì khả năng bảo vệ, nhưng bất kì quân địch nào tấn công xuyên khiên lửa sẽ chịu sát thương bằng một phần sát thương mà nó gây ra.
"	"{Khiên Lửa Sơ Cấp}

Triển khai phép thuật lên đơn vị quân thân thiện, phép này không mang lại thêm bất kì khả năng bảo vệ, nhưng bất kì quân địch nào tấn công xuyên khiên lửa sẽ chịu sát thương bằng một phần sát thương mà nó gây ra.
"	"{Khiên Lửa Thứ Cấp}

Triển khai phép thuật lên đơn vị quân thân thiện, phép này không mang lại thêm bất kì khả năng bảo vệ, nhưng bất kì quân địch nào tấn công xuyên khiên lửa sẽ chịu sát thương bằng một phần sát thương mà nó gây ra.

Lượng sát thương phản lại hơn 5% so với Khiên Lửa Sơ Cấp.
"	"{Khiên Lửa Cao Cấp}

Triển khai phép thuật lên đơn vị quân thân thiện, phép này không mang lại thêm bất kì khả năng bảo vệ, nhưng bất kì quân địch nào tấn công xuyên khiên lửa sẽ chịu sát thương bằng một phần sát thương mà nó gây ra.

Lượng sát thương phản lại hơn 10% so với Khiên Lửa Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Protection from Air	Kháng Gió	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Kháng Gió}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép gió.
"	"{Kháng Gió Sơ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép gió.
"	"{Kháng Gió Thứ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép đất.

Khả năng bảo vệ gấp 2 lần so với Kháng Gió Sơ Cấp.
"	"{Kháng Gió Cao Cấp}

Bảo vệ tất cả các đơn vị quân, giảm sát thương nhận được từ phép gió.

Khả năng bảo vệ gấp 2 lần so với Kháng Gió Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Protection from Fire	Kháng Lửa	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Kháng Lửa}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép lửa.
"	"{Kháng Lửa Sơ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép lửa.
"	"{Kháng Lửa Thứ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép lửa.

Khả năng bảo vệ gấp 2 lần so với Kháng Lửa Sơ Cấp.
"	"{Kháng Lửa Cao Cấp}

Bảo vệ tất cả các đơn vị quân, giảm sát thương nhận được từ phép lửa.

Khả năng bảo vệ gấp 2 lần so với Kháng Lửa Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prot. from Water	Kháng Nước	1	 	x		 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Kháng Nước}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép nước.
"	"{Kháng Nước Sơ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép nước.
"	"{Kháng Nước Thứ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép nước.

Khả năng bảo vệ gấp 2 lần so với Kháng Nước Sơ Cấp.
"	"{Kháng Nước Cao Cấp}

Bảo vệ tất cả các đơn vị quân, giảm sát thương nhận được từ phép nước.

Khả năng bảo vệ gấp 2 lần so với Kháng Nước Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prot. from Earth	Kháng Đất	3	x	 	 		12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Kháng Đất}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép đất.
"	"{Kháng Đất Sơ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép đất.
"	"{Kháng Đất Thứ Cấp}

Bảo vệ đơn vị quân được chọn, giảm sát thương nhận được từ phép đất.

Khả năng bảo vệ gấp 2 lần so với Kháng Đất Sơ Cấp.
"	"{Kháng Đất Cao Cấp}

Bảo vệ tất cả các đơn vị quân, giảm sát thương nhận được từ phép đất.

Khả năng bảo vệ gấp 2 lần so với Kháng Đất Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-Magic	Kháng Phép	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Kháng Phép}

Bảo vệ đơn vị quân được chọn kháng các phép cấp thấp.
"	"{Kháng Phép Sơ Cấp}

Bảo vệ đơn vị quân được chọn kháng các phép cấp thấp.
"	"{Kháng Phép Thứ Cấp}

Bảo vệ đơn vị quân được chọn kháng hầu hết các phép.
"	"{Kháng Phép Cao Cấp}

Bảo vệ đơn vị quân được chọn kháng tất cả các phép.
"	 COMBAT_SPELL|CREATURE_TARGET
Dispel	Hóa Giải Phép	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Hóa Giải Phép}

Hóa giải tất cả các phép của quân đồng minh.
"	"{Hóa Giải Phép Sơ Cấp}

Hóa giải tất cả các phép của quân đồng minh.
"	"{Hóa Giải Phép Thứ Cấp}

Hóa giải tất cả các phép của quân đồng minh hoặc quân địch.
"	"{Hóa Giải Phép Cao Cấp}

Hóa giải tất cả các phép của tất cả các đơn vị quân trên chiến trường.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Magic Mirror	Gương Ma Thuật	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Gương Ma Thuật}

Mang đến 20% cơ hội phản lại các phép của quân địch và dội lại vào ngẫu nhiên một quân của kẻ địch.
"	"{Gương Ma Thuật Sơ Cấp}

Mang đến 20% cơ hội phản lại các phép của quân địch và dội lại vào ngẫu nhiên một quân của kẻ địch.
"	"{Gương Ma Thuật Thứ Cấp}

Mang đến 30% cơ hội phản lại các phép của quân địch và dội lại vào ngẫu nhiên một quân của kẻ địch.
"	"{Gương Ma Thuật Cao Cấp}

Mang đến 40% cơ hội phản lại các phép của quân địch và dội lại vào ngẫu nhiên một quân của kẻ địch.
"	 COMBAT_SPELL|CREATURE_TARGET
Cure	Chữa Trị	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Chữa Trị}

Loại bỏ tất cả các phép tiêu cực và hồi phục 1 lượng máu nhỏ cho quân được chọn.
"	"{Chữa Trị Sơ Cấp}

Loại bỏ tất cả các phép tiêu cực và hồi phục 1 lượng máu nhỏ cho quân được chọn.
"	"{Chữa Trị Thứ Cấp}

Loại bỏ tất cả các phép tiêu cực và hồi phục 1 lượng máu nhỏ cho quân được chọn.

Hồi thêm 10 máu so với Chữa Trị Sơ Cấp.
"	"{Chữa Trị Cao Cấp}

Loại bỏ tất cả các phép tiêu cực và hồi phục 1 lượng máu nhỏ cho toàn bộ quân.

Hồi thêm 20 máu so với Chữa Trị Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Resurrection	Hồi Sinh	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Hồi Sinh}

Hồi sinh một nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.
"	"{Hồi Sinh Sơ Cấp}

Hồi sinh một nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.
"	"{Hồi Sinh Thứ Cấp}

Hồi sinh một nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.

Hồi thêm 40 máu so với Hồi Sinh Sơ Cấp.
"	"{Hồi Sinh Cao Cấp}

Hồi sinh một nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.

Hồi thêm 120 máu so với Hồi Sinh Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Animate Dead	Hồi Sinh Quân Ma	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Hồi Sinh Quân Ma}

Làm sống lại bất kì quân âm binh đã bị giết trong nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.
"	"{Hồi Sinh Quân Ma Sơ Cấp}

Làm sống lại bất kì quân âm binh đã bị giết trong nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.
"	"{Hồi Sinh Quân Ma Thứ Cấp}

Làm sống lại bất kì quân âm binh đã bị giết trong nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.

Hồi thêm 30 máu so với Hồi Sinh Quân Ma Sơ Cấp.
"	"{Hồi Sinh Quân Ma Cao Cấp}

Làm sống lại bất kì quân âm binh đã bị giết trong nhóm quân được chọn bằng cách hồi phục một lượng máu cố định lên đối tượng.

Hồi thêm 130 máu so với Hồi Sinh Quân Ma Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Sacrifice	Hiến Tế	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Hiến Tế}

Hy sinh một nhóm quân thân thiện để hồi sinh một nhóm quân khác đã chết. Số quân được hồi sinh phụ thuộc vào chỉ số lực phép và lượng máu của quân bị hy sinh.
"	"{Hiến Tế Sơ Cấp}

Hy sinh một nhóm quân thân thiện để hồi sinh một nhóm quân khác đã chết. Số quân được hồi sinh phụ thuộc vào chỉ số lực phép và lượng máu của quân bị hy sinh.
"	"{Hiến Tế Thứ Cấp}

Hy sinh một nhóm quân thân thiện để hồi sinh một nhóm quân khác đã chết. Số quân được hồi sinh phụ thuộc vào chỉ số lực phép và lượng máu của quân bị hy sinh.

Hồi phục máu cho quân nhiều hơn so với Hiến Tế Sơ Cấp.
"	"{Hiến Tế Cao Cấp}

Hy sinh một nhóm quân thân thiện để hồi sinh một nhóm quân khác đã chết. Số quân được hồi sinh phụ thuộc vào chỉ số lực phép và lượng máu của quân bị hy sinh.

Hồi phục máu cho quân nhiều hơn so với Hiến Tế Thứ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET
Bless	Ban Phước	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Ban Phước}

Giúp cho đơn vị quân được chọn gây ra sát thương tối đa trong trận chiến.
"	"{Ban Phước Sơ Cấp}

Giúp cho đơn vị quân được chọn gây ra sát thương tối đa trong trận chiến.
"	"{Ban Phước Thứ Cấp}

Giúp cho đơn vị quân được chọn gây ra sát thương lớn hơn sát thương tối đa của chúng trong trận chiến.
"	"{Ban Phước Cao Cấp}

Giúp cho tất cả các đơn vị quân được chọn gây ra sát thương lớn hơn sát thương tối đa của chúng trong trận chiến.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Curse	Nguyền Rủa	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Nguyền Rủa}

Khiến cho đơn vị quân địch được chọn suy giảm tối thiểu sức sát thương trong trận chiến.
"	"{Nguyền Rủa Sơ Cấp}

Khiến cho đơn vị quân địch được chọn suy giảm tối thiểu sức sát thương trong trận chiến.
"	"{Nguyền Rủa Thứ Cấp}

Khiến cho đơn vị quân địch được chọn gây sát thương ít hơn sức sát thương tối thiểu của chúng trong trận chiến.
"	"{Nguyền Rủa Cao Cấp}

Khiến cho tất cả các đơn vị quân địch gây sát thương ít hơn sức sát thương tối thiểu của chúng trong trận chiến.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Bloodlust	Khát Máu	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Khát Máu}

Gia tăng sức sát thương cận chiến cho đơn vị quân được chọn.
"	"{Khát Máu Sơ Cấp}

Gia tăng sức sát thương cận chiến cho đơn vị quân được chọn.
"	"{Khát Máu Thứ Cấp}

Gia tăng sức sát thương cận chiến cho đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Khát Máu Sơ Cấp.
"	"{Khát Máu Cao Cấp}

Gia tăng sức sát thương cận chiến cho toàn bộ quân.

Hiệu quả được gia tăng gấp 2 lần so với Khát Máu Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Precision	Chính Xác	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Chính Xác}

Gia tăng sát thương tầm xa cho đơn vị quân được chọn.
"	"{Chính Xác Sơ Cấp}

Gia tăng sát thương tầm xa cho đơn vị quân được chọn.
"	"{Chính Xác Thứ Cấp}

Gia tăng sát thương tầm xa cho đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Chính Xác Sơ Cấp.
"	"{Chính Xác Cao Cấp}

Gia tăng sát thương tầm xa cho toàn bộ quân.

Hiệu quả được gia tăng gấp 2 lần so với Chính Xác Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Weakness	Suy Yếu	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Suy Yếu}

Làm giảm sức tấn công của đơn vị quân địch được chọn.
"	"{Suy Yếu Sơ Cấp}

Làm giảm sức tấn công của đơn vị quân địch được chọn.
"	"{Suy Yếu Thứ Cấp}

Làm giảm sức tấn công của đơn vị quân địch được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Suy Yếu Sơ Cấp.
"	"{Suy Yếu Cao Cấp}

Làm giảm sức tấn công của toàn bộ quân địch.

Hiệu quả được gia tăng gấp 2 lần so với Suy Yếu Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Stone Skin	Thạch Bì	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Thạch Bì}

Gia tăng sức phòng thủ của đơn vị quân được chọn.
"	"{Thạch Bì Sơ Cấp}

Gia tăng sức phòng thủ của đơn vị quân được chọn.
"	"{Thạch Bì Thứ Cấp}

Gia tăng sức phòng thủ của đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Thạch Bì Sơ Cấp.
"	"{Thạch Bì Cao Cấp}

Gia tăng sức phòng thủ cho toàn bộ quân.

Hiệu quả được gia tăng gấp 2 lần so với Thạch Bì Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Disrupting Ray	Tia Xuyên Phá	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Tia Xuyên Phá}

Làm giảm phòng thủ của đơn vị quân địch được chọn, có thể thi triển nhiều lần trên cùng một đối tượng.
"	"{Tia Xuyên Phá Sơ Cấp}

Làm giảm phòng thủ của đơn vị quân địch được chọn, có thể thi triển nhiều lần trên cùng một đối tượng.
"	"{Tia Xuyên Phá Thứ Cấp}

Làm giảm phòng thủ của đơn vị quân địch được chọn, có thể thi triển nhiều lần trên cùng một đối tượng.

Hiệu quả được gia tăng gấp 2 lần so với Tia Xuyên Phá Sơ Cấp.
"	"{Tia Xuyên Phá Cao Cấp}

Làm giảm phòng thủ của đơn vị quân địch được chọn, có thể thi triển nhiều lần trên cùng một đối tượng.

Hiệu quả được gia tăng gấp 2 lần so với Tia Xuyên Phá Thứ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prayer	Cầu Nguyện	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Cầu Nguyện}

Gia tăng thêm các điểm sức mạnh tấn công, khả năng phòng thủ và tốc độ di chuyển cho đơn vị quân được chọn.
"	"{Cầu Nguyện Sơ Cấp}

Gia tăng thêm các điểm sức mạnh tấn công, khả năng phòng thủ và tốc độ di chuyển cho đơn vị quân được chọn.
"	"{Cầu Nguyện Thứ Cấp}

Gia tăng thêm các điểm sức mạnh tấn công, khả năng phòng thủ và tốc độ di chuyển cho đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Cầu Nguyện Sơ Cấp.
"	"{Cầu Nguyện Cao Cấp}

Gia tăng thêm các điểm sức mạnh tấn công, khả năng phòng thủ và tốc độ di chuyển cho toàn bộ đơn vị quân.

Hiệu quả được gia tăng gấp 2 lần so với Cầu Nguyện Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Mirth	Hưng Phấn	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Hưng Phấn}

Gia tăng chỉ số nhuệ khí cho đơn vị quân được chọn.
"	"{Hưng Phấn Sơ Cấp}

Gia tăng chỉ số nhuệ khí cho đơn vị quân được chọn.
"	"{Hưng Phấn Thứ Cấp}

Gia tăng chỉ số nhuệ khí cho đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Hưng Phấn Sơ Cấp.
"	"{Hưng Phấn Cao Cấp}

Gia tăng chỉ số nhuệ khí cho toàn bộ quân.

Hiệu quả được gia tăng gấp 2 lần so với Hưng Phấn Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorrow	Bi Ai	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Bi Ai}

Làm giảm chỉ số nhuệ khí của đơn vị quân địch được chọn.
"	"{Bi Ai Sơ Cấp}

Làm giảm chỉ số nhuệ khí của đơn vị quân địch được chọn.
"	"{Bi Ai Thứ Cấp}

Làm giảm chỉ số nhuệ khí của đơn vị quân địch được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Bi Ai Sơ Cấp.
"	"{Bi Ai Cao Cấp}

Làm giảm chỉ số nhuệ khí của toàn bộ quân địch.

Hiệu quả được gia tăng gấp 2 lần so với Bi Ai Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Fortune	Vận May	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Vận May}

Gia tăng chỉ số may mắn cho đơn vị quân được chọn.
"	"{Vận May Sơ Cấp}

Gia tăng chỉ số may mắn cho đơn vị quân được chọn.
"	"{Vận May Thứ Cấp}

Gia tăng chỉ số may mắn cho đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Vận May Sơ Cấp.
"	"{Vận May Cao Cấp}

Gia tăng chỉ số may mắn cho toàn bộ quân.

Hiệu quả được gia tăng gấp 2 lần so với Vận May Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Misfortune	Vận Rủi	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Vận Rủi}

Làm giảm chỉ số may mắn của đơn vị quân địch được chọn.
"	"{Vận Rủi Sơ Cấp}

Làm giảm chỉ số may mắn của đơn vị quân địch được chọn.

Chỉ tốn một nữa năng lượng so với phép Vận Rủi Chấp thường.
"	"{Vận Rủi Thứ Cấp}

Làm giảm chỉ số may mắn của đơn vị quân địch được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Vận Rủi Sơ Cấp.
"	"{Vận Rủi Cao Cấp}

Làm giảm chỉ số may mắn của toàn bộ quân địch.

Hiệu quả được gia tăng gấp 2 lần so với Vận Rủi Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Haste	Gia Tốc	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Gia Tốc}

Gia tăng tốc độ di chuyển cho đơn vị quân được chọn.
"	"{Gia Tốc Sơ Cấp}

Gia tăng tốc độ di chuyển cho đơn vị quân được chọn.
"	"{Gia Tốc Thứ Cấp}

Gia tăng tốc độ di chuyển cho đơn vị quân được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Gia Tốc Sơ Cấp.
"	"{Gia Tốc Cao Cấp}

Gia tăng tốc độ di chuyển cho toàn bộ quân.

Hiệu quả được gia tăng gấp 2 lần so với Gia Tốc Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slow	Chậm Chạp	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Chậm Chạp}

Làm giảm tốc độ di chuyển của đơn vị quân địch được chọn.
"	"{Chậm Chạp Sơ Cấp}

Làm giảm tốc độ di chuyển của đơn vị quân địch được chọn.
"	"{Chậm Chạp Thứ Cấp}

Làm giảm tốc độ di chuyển của đơn vị quân địch được chọn.

Hiệu quả được gia tăng gấp 2 lần so với Chậm Chạp Sơ Cấp.
"	"{Chậm Chạp Cao Cấp}

Làm giảm tốc độ di chuyển của toàn bộ quân địch.

Hiệu quả được gia tăng gấp 2 lần so với Chậm Chạp Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Slayer	Tàn Sát	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Tàn Sát}

Gia tăng lượng sát thương gây ra bởi đơn vị quân được chọn khi chiến đấu với Dragons, Behemoths và Hydras.
"	"{Tàn Sát Sơ Cấp}

Gia tăng lượng sát thương gây ra bởi đơn vị quân được chọn khi chiến đấu với Dragons, Behemoths và Hydras.
"	"{Tàn Sát Thứ Cấp}

Gia tăng lượng sát thương gây ra bởi đơn vị quân được chọn khi chiến đấu với Dragons, Behemoths, Hydras Devils và Angels.
"	"{Tàn Sát Cao Cấp}

Gia tăng lượng sát thương gây ra bởi đơn vị quân được chọn khi chiến đấu với Dragons, Behemoths, Hydras, Devils, Angels và Titans.
"	 COMBAT_SPELL|CREATURE_TARGET
Frenzy	Điên Cuồng	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Điên Cuồng}

Đơn vị quân được chọn sẽ chủ động giảm khả năng phòng thủ của nó để gia tăng khả năng tấn công một cách tàn bạo.
"	"{Điên Cuồng Sơ Cấp}

Đơn vị quân được chọn sẽ chủ động giảm khả năng phòng thủ của nó để gia tăng khả năng tấn công một cách tàn bạo.
"	"{Điên Cuồng Thứ Cấp}

Đơn vị quân được chọn sẽ chủ động giảm khả năng phòng thủ của nó để gia tăng khả năng tấn công một cách tàn bạo.

Điểm tăng vào sức tấn công nay cao hơn 50% so với Điên Cuồng Sơ Cấp.
"	"{Điên Cuồng Cao Cấp}

Đơn vị quân được chọn sẽ chủ động giảm khả năng phòng thủ của nó để gia tăng khả năng tấn công một cách tàn bạo.

Điểm tăng vào sức tấn công nay cao gấp đôi so với Điên Cuồng Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titan's Lightning Bolt	Tia Sét Của Titan	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Tia Sét Của Titan}

Gây ra 600 điểm sát thương mà không phải trả phí thi triển phép.
"	"{Tia Sét Của Titan}

Gây ra 600 điểm sát thương mà không phải trả phí thi triển phép.
"	"{Tia Sét Của Titan}

Gây ra 600 điểm sát thương mà không phải trả phí thi triển phép.
"	"{Tia Sét Của Titan}

Gây ra 600 điểm sát thương mà không phải trả phí thi triển phép.
"	
Counterstrike	Phản Công	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Phản Công}

Đơn vị quân được chọn sẽ thêm một lần phản công cho mỗi lượt.
"	"{Phản Công Sơ Cấp}

Đơn vị quân được chọn sẽ thêm một lần phản công cho mỗi lượt.
"	"{Phản Công Thứ Cấp}

Đơn vị quân được chọn sẽ thêm hai lần phản công cho mỗi lượt.
"	"{Phản Công Cao Cấp}

Tất cả các quân sẽ thêm hai lần phản công cho mỗi lượt.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Berserk	Phát Cuồng	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Phát Cuồng}

Đơn vị mục tiêu sẽ tấn công ngẫu nhiên đơn vị quân gần nhất, có thể là bạn hoặc thù.
"	"{Phát Cuồng Sơ Cấp}

Đơn vị mục tiêu sẽ tấn công ngẫu nhiên đơn vị quân gần nhất, có thể là bạn hoặc thù.
"	"{Phát Cuồng Thứ Cấp}

Đơn vị mục tiêu sẽ tấn công ngẫu nhiên đơn vị quân gần nhất, có thể là bạn hoặc thù.

Phạm vi ảnh hưởng lan đến 6 ô, mạnh hơn so với Phát Cuồng Sơ Cấp.
"	"{Phát Cuồng Cao Cấp}

Đơn vị mục tiêu sẽ tấn công ngẫu nhiên đơn vị quân gần nhất, có thể là bạn hoặc thù.

Phạm vi ảnh hưởng lan đến 8 ô, mạnh hơn so với Phát Cuồng Thứ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnotize	Thôi Miên	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Thôi Miên}

Khiến cho đơn vị quân địch tạm thời chịu dưới sự kiểm soát của bạn.
"	"{Thôi Miên Sơ Cấp}

Khiến cho đơn vị quân địch tạm thời chịu dưới sự kiểm soát của bạn.
"	"{Thôi Miên Thứ Cấp}

Khiến cho đơn vị quân địch tạm thời chịu dưới sự kiểm soát của bạn.

Cho phép bạn có thể điều khiển thêm 10 máu của quân địch so với Thôi Miên Sơ Cấp.
"	"{Thôi Miên Cao Cấp}

Khiến cho đơn vị quân địch tạm thời chịu dưới sự kiểm soát của bạn.

Cho phép bạn có thể điều khiển thêm 40 máu của quân địch so với Thôi Miên Sơ Cấp.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Forgetfulness	Lạng Quên	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Lạng Quên}

Một nửa đơn vị quân địch được chọn sẽ quên cách tấn công tầm xa của chúng.
"	"{Lạng Quên Sơ Cấp}

Một nửa đơn vị quân địch được chọn sẽ quên cách tấn công tầm xa của chúng.
"	"{Lạng Quên Thứ Cấp}

Khiến cho đơn vị quân địch được chọn sẽ quên cách tấn công tầm xa của chúng.
"	"{Lạng Quên Cao Cấp}

Khiến cho tất cả các đơn vị quân địch sẽ quên cách tấn công tầm xa của chúng.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
